supplier_id,supplier_name,phone,address,email
sup1001,Fresh Farm Co.,0815723946,"123 Rama 2 Rd, Bang Mod, Thung Khru, Bangkok 10140",freshfarm@gmail.com
sup1002,Thai Meat Supply,0921837465,"88 Nimmanhaemin Rd, Suthep, Mueang Chiang Mai, Chiang Mai 50200",meatsupply@gmail.com
sup1003,Ocean Seafood Ltd.,0638472910,"55 Patong Beach Rd, Patong, Kathu, Phuket 83150",oceanseafood@gmail.com
sup1004,Green Veggie Co.,0892647381,"21 Petchkasem Rd, Sam Phran, Nakhon Pathom 73110",greenveggie@gmail.com
sup1005,Dairy Best Co.,0917358264,"77 Sukhumvit Rd, Si Racha, Chonburi 20110",dairybest@gmail.com
sup1006,Rice World Ltd.,0829471635,"9 Rojana Rd, Uthai, Phra Nakhon Si Ayutthaya 13000",riceworld@gmail.com
sup1007,Spice Master Co.,0956283741,"456 Lat Phrao Rd, Chomphon, Chatuchak, Bangkok 10900",spicemaster@gmail.com
sup1008,Golden Egg Farm,0863927154,"65 Malaiman Rd, Mueang Suphan Buri, Suphan Buri 72000",goldenegg@gmail.com
sup1009,Fruit Paradise,0937462815,"101 Sukhumvit Rd, Mueang Rayong, Rayong 21000",fruitparadise@gmail.com
sup1010,Frozen Food Hub,0648291735,"222 Thepharak Rd, Mueang Samut Prakan, Samut Prakan 10270",frozenhub@gmail.com
sup1011,Premium Beef Co.,0885736291,"89 Mittraphap Rd, Mueang Khon Kaen, Khon Kaen 40000",premiumbeef@gmail.com
sup1012,Organic Farm Thailand,0974618253,"33 Phahonyothin Rd, Mueang Chiang Rai, Chiang Rai 57000",organicfarm@gmail.com
sup1013,Bakery Delight Co.,0891122334,"12 Ekamai Rd, Khlong Tan Nuea, Watthana, Bangkok 10110",bakerydelight@gmail.com
sup1014,Beverage Plus Ltd.,0865566778,"45 Huay Kaew Rd, Mueang Chiang Mai, Chiang Mai 50300",beverageplus@gmail.com
sup1015,Asian Import Export,0819988776,"78 Rama 3 Rd, Bang Phongphang, Yan Nawa, Bangkok 10120",asianimport@gmail.com
